id,title,brand,processor,ram,storage,price_raw,price,condition,location,slug,link,shop_name,is_member,timestamp
6a6848136fe7a44b01df1e82,Dell Latitude E7470 i5 6th Gen 8GB RAM 256GB SSD,Dell,I5,8GB,256 SSD,"Rs 58,500",58500,Used,Colombo,dell-latitude-e7470-i5-6th-gen-8gb-ram-256gb-ssd-for-sale-colombo-60,https://ikman.lk/en/ad/dell-latitude-e7470-i5-6th-gen-8gb-ram-256gb-ssd-for-sale-colombo-60,Ravi Computers,True,1 month
6a6847bd867dc3292304a8e6,Lenovo Thinkpad T470 i5 6th Gen Laptop,Lenovo,I5,Unknown,Unknown,"Rs 45,800",45800,Used,Colombo,lenovo-thinkpad-t470-i5-6th-gen-laptop-for-sale-colombo-16,https://ikman.lk/en/ad/lenovo-thinkpad-t470-i5-6th-gen-laptop-for-sale-colombo-16,Ravi Computers,True,1 month
6a68478331e3a05e0a04a942,Hp Elitebook 850 G5/6 I5 8th Gen - 8GB RAM 256GB SSD Used Laptop,Hp,I5,8GB,256 SSD,"Rs 85,000",85000,Used,Colombo,hp-elitebook-850-g5-6-i5-8th-gen-8gb-ram-256gb-ssd-used-laptop-for-sale-colombo-15,https://ikman.lk/en/ad/hp-elitebook-850-g5-6-i5-8th-gen-8gb-ram-256gb-ssd-used-laptop-for-sale-colombo-15,I MAC LK (PVT) LTD,True,1 month
6a68475ac1a3861ec480367a,Dell Latitude 7300 i7 8th Gen Full HD IPS 13.3 Inches,Dell,I7,Unknown,Unknown,"Rs 82,500",82500,Used,Colombo,dell-latitude-7300-i7-8th-gen-full-hd-ips-133-inches-for-sale-colombo,https://ikman.lk/en/ad/dell-latitude-7300-i7-8th-gen-full-hd-ips-133-inches-for-sale-colombo,OneStore,True,1 month
6a68473f54a8423d05549213,Dell I3 11th Gen Laptop,Dell,I3,Unknown,Unknown,"Rs 40,000",40000,Used,Hambantota,laptop-for-sale-hambantota-225,https://ikman.lk/en/ad/laptop-for-sale-hambantota-225,,False,1 month
6a68452a0b3c108bc35491a4,Lenovo Thinkpad T14s i7 11th 32GB RAM Gen,Lenovo,I7,32GB,Unknown,"Rs 139,500",139500,Used,Colombo,lenovo-thinkpad-t14s-i7-11th-32gb-ram-gen-for-sale-colombo,https://ikman.lk/en/ad/lenovo-thinkpad-t14s-i7-11th-32gb-ram-gen-for-sale-colombo,OneStore,True,1 month
6a6844da3c96c3ab774aaa78,used laptop,Other,Unknown,Unknown,Unknown,"Rs 45,000",45000,Used,Matara,used-laptop-for-sale-matara,https://ikman.lk/en/ad/used-laptop-for-sale-matara,,False,1 month
6a6844c3ef8b59545d1e6f9a,Laptop Dell Inspiron 15-3573 8GB/256GBSSD 15.6 Display,Dell,Unknown,Unknown,256 256GBSSD,"Rs 55,000",55000,Used,Colombo,laptop-dell-inspiron-15-3573-8gb-256gbssd-156-display-for-sale-colombo,https://ikman.lk/en/ad/laptop-dell-inspiron-15-3573-8gb-256gbssd-156-display-for-sale-colombo,My Technology Pvt (Ltd),True,1 month
6a68434dc08db8ecef4aaaa6,Dell Pentium Laptop,Dell,PENTIUM,Unknown,Unknown,"Rs 35,500",35500,Used,Colombo,dell-pentium-laptop-for-sale-colombo-70,https://ikman.lk/en/ad/dell-pentium-laptop-for-sale-colombo-70,W.S.RUPASINGHE PVT LTD Rathmalana Branch,True,1 month
6a6842deb20808a12304a935,Acer Chromebook Laptop,Acer,Unknown,Unknown,Unknown,"Rs 30,500",30500,Used,Colombo,acer-chromebook-laptop-for-sale-colombo-8,https://ikman.lk/en/ad/acer-chromebook-laptop-for-sale-colombo-8,W.S.RUPASINGHE PVT LTD Rathmalana Branch,True,1 month
6a68425b985177deb286e746,Dell i3 12th GEN Laptop,Dell,I3,Unknown,Unknown,"Rs 75,500",75500,Used,Colombo,dell-i3-12th-gen-laptop-for-sale-colombo-10,https://ikman.lk/en/ad/dell-i3-12th-gen-laptop-for-sale-colombo-10,W.S.RUPASINGHE PVT LTD Rathmalana Branch,True,1 month
6a684056c94f3ffd3e4aaa00,Dell Latitude 5530 I5 12th Gen 8GB RAM 256GB SSD Used Laptop,Dell,I5,8GB,256 SSD,"Rs 128,000",128000,Used,Colombo,dell-latitude-5530-i5-12th-gen-8gb-ram-256gb-ssd-used-laptop-for-sale-colombo-16,https://ikman.lk/en/ad/dell-latitude-5530-i5-12th-gen-8gb-ram-256gb-ssd-used-laptop-for-sale-colombo-16,I MAC LK (PVT) LTD,True,1 month
6a68401486fb578bbf86e6f9,HP ZBook Firefly 14 G8 i7 11th Gen 16GB RAM,Hp,I7,16GB,Unknown,"Rs 135,000",135000,Used,Colombo,hp-zbook-firefly-14-g8-i7-11th-gen-16gb-ram-for-sale-colombo,https://ikman.lk/en/ad/hp-zbook-firefly-14-g8-i7-11th-gen-16gb-ram-for-sale-colombo,OneStore,True,1 month
6a683eda3c96c3ab774aaa33,HP ZBook Firefly 14 G8 i5 11th Gen 16GB RAM,Hp,I5,16GB,Unknown,"Rs 125,000",125000,Used,Colombo,hp-zbook-firefly-14-g8-i5-11th-gen-16gb-ram-for-sale-colombo,https://ikman.lk/en/ad/hp-zbook-firefly-14-g8-i5-11th-gen-16gb-ram-for-sale-colombo,OneStore,True,1 month
6a683ea5287ae351891e6fb7,Dell Latitude 3400 –Intel Core i5 8th Gen 8GB RAM 256GB SSD Used Laptop,Dell,CORE I5,8GB,256 SSD,"Rs 73,000",73000,Used,Colombo,dell-latitude-3400-intel-core-i5-8th-gen-8gb-ram-256gb-ssd-used-laptop-for-sale-colombo-31,https://ikman.lk/en/ad/dell-latitude-3400-intel-core-i5-8th-gen-8gb-ram-256gb-ssd-used-laptop-for-sale-colombo-31,I MAC LK (PVT) LTD,True,1 month
6a683e90c1a3861ec48035f9,"Lenovo ThinkPad T480s INTEL CORE I5 8th Gen 8GB DDR4 RAM 256GB NVME 14""",Lenovo,CORE I5,256GB,256 NVME,"Rs 75,000",75000,Used,Colombo,lenovo-thinkpad-t480s-intel-core-i5-8th-gen-8gb-ddr4-ram-256gb-nvme-14-for-sale-colombo-51,https://ikman.lk/en/ad/lenovo-thinkpad-t480s-intel-core-i5-8th-gen-8gb-ddr4-ram-256gb-nvme-14-for-sale-colombo-51,Myitem.lk (PVT) Ltd,True,1 month
6a683d1c6fe7a44b01df1dd1,Dell Latitude 5400 i5 8th Gen +8GB RAM /256GB NVME SSD -Laptop,Dell,I5,8GB,256 NVME,"Rs 69,999",69999,Used,Colombo,dell-latitude-5400-i5-8th-gen-8gb-ram-256gb-nvme-ssd-laptop-for-sale-colombo-369,https://ikman.lk/en/ad/dell-latitude-5400-i5-8th-gen-8gb-ram-256gb-nvme-ssd-laptop-for-sale-colombo-369,I MAC LK (PVT) LTD,True,1 month
6a683cd6530474f548046fb1,"Lenovo ThinkPad T480s I5 8TH GEN 8GB DDR4 RAM 256GB NVMe 14"" B GRADE",Lenovo,I5,256GB,256 NVME,"Rs 67,500",67500,Used,Colombo,lenovo-thinkpad-t480s-i5-8th-gen-8gb-ddr4-ram-256gb-nvme-14-b-grade-for-sale-colombo,https://ikman.lk/en/ad/lenovo-thinkpad-t480s-i5-8th-gen-8gb-ddr4-ram-256gb-nvme-14-b-grade-for-sale-colombo,Computer Store.lk Pvt Ltd,True,1 month
6a683c8554a8423d05549178,"Laptop i5 8th Gen|Dell Latitude 5490|8GB RAM|256GB NVME|14"" Display|WIFI",Dell,I5,8GB,256 NVME,"Rs 73,250",73250,Used,Colombo,laptop-i5-8th-gendell-latitude-54908gb-ram256gb-nvme14-displaywifi-for-sale-colombo,https://ikman.lk/en/ad/laptop-i5-8th-gendell-latitude-54908gb-ram256gb-nvme14-displaywifi-for-sale-colombo,ShaTech Zone,True,1 month
6a683bc7c1a3861ec48035d0,Lenovo Thinkpad T14 i7 10th Gen 16GB RAM DDR4,Lenovo,I7,16GB,Unknown,"Rs 119,500",119500,Used,Colombo,lenovo-thinkpad-t14-i7-10th-gen-16gb-ram-ddr4-for-sale-colombo,https://ikman.lk/en/ad/lenovo-thinkpad-t14-i7-10th-gen-16gb-ram-ddr4-for-sale-colombo,OneStore,True,1 month
