id,title,brand,size,refresh_rate,resolution,panel_type,is_curved,is_gaming,is_frameless,price_raw,price,condition,location,slug,link,shop_name,is_member,timestamp
6a6c2c0a9b7fbb345460db29,"Dell P2319H 23"" inch Full HD IPS HDMI Frameless Used Monitor (No Cables)",Dell,23 Inch,60Hz,1080p FHD,IPS,False,False,True,"Rs 20,500",20500,Used,Colombo,dell-p2319h-23-inch-full-hd-ips-hdmi-frameless-used-monitor-no-cables-for-sale-colombo-46,https://ikman.lk/en/ad/dell-p2319h-23-inch-full-hd-ips-hdmi-frameless-used-monitor-no-cables-for-sale-colombo-46,Myitem.lk (PVT) Ltd,True,1 month
6a6c2aa285fa388b4527b10e,"Samsung 20"" HDMI Monitor",Samsung,20 Inch,60Hz,HD,Standard,False,False,False,"Rs 14,000",14000,Used,Jaffna,samsung-20-hdmi-monitor-for-sale-jaffna,https://ikman.lk/en/ad/samsung-20-hdmi-monitor-for-sale-jaffna,Pc Paradise,True,1 month
6a6c29b8dfa6cd050c3f6d1f,"HP 22"" Widescreen Monitor",HP,22 Inch,60Hz,1080p FHD,Standard,False,False,False,"Rs 14,000",14000,Used,Jaffna,hp-22-widescreen-monitor-for-sale-jaffna,https://ikman.lk/en/ad/hp-22-widescreen-monitor-for-sale-jaffna,Pc Paradise,True,1 month
6a6c2822c0c071428b6d1993,"Asus VY279HGR 27"" Inch Full HD IPS Level 120Hz Adaptive Sync Monitor",Asus,27 Inch,120Hz,1080p FHD,IPS,False,False,False,"Rs 46,000",46000,Brand New,Colombo,asus-vy279hgr-27-inch-full-hd-ips-level-120hz-adaptive-sync-monitor-for-sale-colombo-71,https://ikman.lk/en/ad/asus-vy279hgr-27-inch-full-hd-ips-level-120hz-adaptive-sync-monitor-for-sale-colombo-71,Myitem.lk (PVT) Ltd,True,1 month
6a6c27fadb934f23dc2ad9da,"HP 20"" Widescreen Monitor",HP,20 Inch,60Hz,Unknown,Standard,False,False,False,"Rs 12,500",12500,Used,Jaffna,hp-20-widescreen-monitor-for-sale-jaffna,https://ikman.lk/en/ad/hp-20-widescreen-monitor-for-sale-jaffna,Pc Paradise,True,1 month
6a6c205d0a6a7655fcc24482,"HP 19"" Widescreen Monitor",HP,19 Inch,60Hz,Unknown,Standard,False,False,False,"Rs 11,500",11500,Used,Jaffna,hp-19-widescreen-monitor-for-sale-jaffna,https://ikman.lk/en/ad/hp-19-widescreen-monitor-for-sale-jaffna,Pc Paradise,True,1 month
6a6c10000c0a936876e7becd,"ASUS VZ27EHE Eye Care Monitor – 27 inch Full HD (1920 x 1080),",Asus,27 Inch,60Hz,1080p FHD,Standard,False,False,False,"Rs 48,000",48000,Brand New,Galle,asus-vz27ehe-eye-care-monitor-27-inch-full-hd-1920-x-1080-for-sale-galle,https://ikman.lk/en/ad/asus-vz27ehe-eye-care-monitor-27-inch-full-hd-1920-x-1080-for-sale-galle,,False,1 month
6a1bbc0f7e9378d702f18aa4,HP P27h G4 27’Inch frameless FHD Monitor,HP,27 Inch,60Hz,1080p FHD,Standard,False,False,True,"Rs 39,500",39500,Brand New,Colombo,hp-p27h-g4-27inch-frameless-fhd-monitor-for-sale-colombo,https://ikman.lk/en/ad/hp-p27h-g4-27inch-frameless-fhd-monitor-for-sale-colombo,PC TECH COMPUTER,True,1 month
6a1bc4fc071ab909d8c486e6,Dell 24’inch Video Conferencing Monitor ( C2422HE ),Dell,24 Inch,60Hz,1080p FHD,Standard,False,False,False,"Rs 57,500",57500,Brand New,Colombo,dell-24inch-video-conferencing-monitor-c2422he-for-sale-colombo-1,https://ikman.lk/en/ad/dell-24inch-video-conferencing-monitor-c2422he-for-sale-colombo-1,PC TECH COMPUTER,True,1 month
6a1bcdc9b08fdfa071d05ef9,HP P27H G4 24’inch IPS FHD Frameless moniter,HP,24 Inch,60Hz,1080p FHD,IPS,False,False,True,"Rs 32,500",32500,Used,Colombo,hp-p27h-g4-24inch-ips-fhd-frameless-moniter-for-sale-colombo,https://ikman.lk/en/ad/hp-p27h-g4-24inch-ips-fhd-frameless-moniter-for-sale-colombo,PC TECH COMPUTER,True,1 month
6a1b156fd0555157f689cd0e,Dell 55 Inch 4K Interactive Touch Monitor C5522QT,Dell,55 Inch,60Hz,4K UHD,Standard,False,False,False,"Rs 185,000",185000,Used,Colombo,dell-55-inch-4k-interactive-touch-monitor-c5522qt-for-sale-colombo,https://ikman.lk/en/ad/dell-55-inch-4k-interactive-touch-monitor-c5522qt-for-sale-colombo,Acepro Trading (pvt) ltd,True,1 month
6a6b60f48db20b2ebc9a1c6f,"Asus VY249 HE 23.8"" IPS Monitor",Asus,23.8 Inch,60Hz,Unknown,IPS,False,False,False,"Rs 30,000",30000,Used,Colombo,asus-vy249-he-238-ips-monitor-for-sale-colombo,https://ikman.lk/en/ad/asus-vy249-he-238-ips-monitor-for-sale-colombo,,False,1 month
6a6b55fe4e7b4bb7b9e1c48c,"MONITOR 22"" IPS SLIM FRAMELESS (1980 x 1080P) FHD HDMI",Other,22 Inch,60Hz,1080p FHD,IPS,False,False,True,"Rs 17,450",17450,Used,Gampaha,monitor-22-ips-slim-frameless-1980-x-1080p-fhd-hdmi-for-sale-gampaha,https://ikman.lk/en/ad/monitor-22-ips-slim-frameless-1980-x-1080p-fhd-hdmi-for-sale-gampaha,ShaTech Zone,True,1 month
6a6b5559499378263b8dedf6,"32"" 2K Curved Monitor (2560 × 1440P) QHD | 144HZ ~ Gaming",Other,32 Inch,144Hz,2K QHD,Standard,True,True,False,"Rs 55,250",55250,Used,Gampaha,32-2k-curved-monitor-2560-x-1440p-qhd-144hz-gaming-for-sale-gampaha,https://ikman.lk/en/ad/32-2k-curved-monitor-2560-x-1440p-qhd-144hz-gaming-for-sale-gampaha,ShaTech Zone,True,1 month
685276588d314d00394c1455,Monitor - 17 | 19 20 22 23 24 27 INCH LCD LED IPS 2K FRAMELESS,Other,27 Inch,60Hz,2K QHD,IPS,False,False,True,"Rs 6,500",6500,Used,Kalutara,monitor-17-19-20-22-23-24-27-inch-lcd-led-ips-2k-frameless-for-sale-kalutara,https://ikman.lk/en/ad/monitor-17-19-20-22-23-24-27-inch-lcd-led-ips-2k-frameless-for-sale-kalutara,Sheiba Arcade,True,1 month
6a6b310cd141f5349223b791,"Samsung F24T450FQE 24"" Inch Full HD IPS Frameless HDMI Used Monitor",Samsung,24 Inch,60Hz,1080p FHD,IPS,False,False,True,"Rs 21,990",21990,Used,Colombo,samsung-f24t450fqe-24-inch-full-hd-ips-frameless-hdmi-used-monitor-for-sale-colombo-53,https://ikman.lk/en/ad/samsung-f24t450fqe-24-inch-full-hd-ips-frameless-hdmi-used-monitor-for-sale-colombo-53,Computer Store.lk Pvt Ltd,True,1 month
6a6b30caae4a3c7859e1c3d7,"Dell P2319H 23"" Inch IPS Frameless Full HD HDMI Used Monitor",Dell,23 Inch,60Hz,1080p FHD,IPS,False,False,True,"Rs 20,500",20500,Used,Colombo,dell-p2319h-23-inch-ips-frameless-full-hd-hdmi-used-monitor-for-sale-colombo-32,https://ikman.lk/en/ad/dell-p2319h-23-inch-ips-frameless-full-hd-hdmi-used-monitor-for-sale-colombo-32,Computer Store.lk Pvt Ltd,True,1 month
6a6b2d68a0556d65f8530480,Samsung 22″IPS 100Hz LS22D300GAEXXS Brand New Monitor,Samsung,22 Inch,100Hz,1080p FHD,IPS,False,False,False,"Rs 26,500",26500,Brand New,Colombo,samsung-22ips-100hz-ls22d300gaexxs-brand-new-monitor-for-sale-colombo-3,https://ikman.lk/en/ad/samsung-22ips-100hz-ls22d300gaexxs-brand-new-monitor-for-sale-colombo-3,I MAC LK(PVT)LTD,True,1 month
6a6b2cc521d7afd3328dec66,Acer - EK251QP6 24.5INCH 144Hz IPS Brand New Montor,Acer,24.5 Inch,144Hz,Unknown,IPS,False,False,False,"Rs 34,000",34000,Brand New,Colombo,acer-ek251qp6-245inch-144hz-ips-brand-new-montor-for-sale-colombo-12,https://ikman.lk/en/ad/acer-ek251qp6-245inch-144hz-ips-brand-new-montor-for-sale-colombo-12,I MAC LK(PVT)LTD,True,1 month
6a6b2c6f1543be81378decab,MSI Mag 321CQF E18 31.5” inch Curved Gaming Monitor,MSI,Unknown,60Hz,Unknown,Standard,True,True,False,"Rs 97,500",97500,Brand New,Colombo,msi-mag-321cqf-e18-315-inch-curved-gaming-monitor-for-sale-colombo-5,https://ikman.lk/en/ad/msi-mag-321cqf-e18-315-inch-curved-gaming-monitor-for-sale-colombo-5,I MAC LK(PVT)LTD,True,1 month
6a6b2c1f792c631e56e1c377,Koorui 27″ S2741LM - b Monitor,Other,27 Inch,60Hz,1080p FHD,Standard,False,False,False,"Rs 165,500",165500,Brand New,Colombo,koorui-27-s2741lm-b-monitor-for-sale-colombo,https://ikman.lk/en/ad/koorui-27-s2741lm-b-monitor-for-sale-colombo,I MAC LK(PVT)LTD,True,1 month
6a6b2bbd6b8033955638d516,MSI - Pro MP251L E2 24.5″INCH Fhd Ultra Slim Framless Monitor,MSI,24 Inch,60Hz,1080p FHD,Standard,False,False,False,"Rs 32,500",32500,Brand New,Colombo,msi-pro-mp251l-e2-245inch-fhd-ultra-slim-framless-monitor-for-sale-colombo-2,https://ikman.lk/en/ad/msi-pro-mp251l-e2-245inch-fhd-ultra-slim-framless-monitor-for-sale-colombo-2,I MAC LK(PVT)LTD,True,1 month
6a6b2b421543be81378dec87,ASUS VA259HGA Eye Care Gaming Monitor – 25-inch,Asus,25 Inch,60Hz,Unknown,Standard,False,True,False,"Rs 36,500",36500,Brand New,Colombo,asus-va259hga-eye-care-gaming-monitor-25-inch-for-sale-colombo-11,https://ikman.lk/en/ad/asus-va259hga-eye-care-gaming-monitor-25-inch-for-sale-colombo-11,I MAC LK(PVT)LTD,True,1 month
