Title,Price,Location_Category,Link
Acer E5-576G-801H Core i7 8th Gen Laptop 16GB RAM NVIDIA GeForce MX150,"Rs 85,000","Kalutara, Computers & Tablets",https://ikman.lk/en/ad/acer-core-i7-8th-gen-laptop-16gb-ram-nvidia-geforce-mx150-for-sale-kalutara
Dell Laptop,"Rs 107,000","Batticaloa, Computers & Tablets",https://ikman.lk/en/ad/dell-laptop-for-sale-batticaloa-166
Brand New HP Victus 15|RTX 3050/6GB VGA|Core i5-13th Gen Gaming Laptops,"Rs 279,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/brand-new-hp-victus-15rtx-3050-6gb-vgacore-i5-13th-gen-gaming-laptops-for-sale-colombo
Hp 250 G10 Core I3 13th Gen 8GB RAM / 512GB SSD New Laptop,"Rs 182,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-250-g10-core-i3-13th-gen-8gb-ram-512gb-ssd-new-laptop-for-sale-colombo
"Laptop i5 10th Gen|16GB RAM|256GB NVME|Dell Latitude 5410|14"" FHD|Wi-Fi","Rs 89,950","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/laptop-i5-10th-gen16gb-ram256gb-nvmedell-latitude-541014-fhdwi-fi-for-sale-gampaha
HP ProBook 640 G5 Laptop – Intel Core i5 8th Gen 8GB RAM 256GB SSD,"Rs 80,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-probook-640-g5-laptop-intel-core-i5-8th-gen-8gb-ram-256gb-ssd-for-sale-colombo
"Laptop i5 7th Gen|8GB RAM|Wi-Fi|Dell Latitude 3480 - SSD,RAM Can Upgrade","Rs 59,950","Colombo, Computers & Tablets",https://ikman.lk/en/ad/laptop-i5-7th-gen8gb-ramwi-fidell-latitude-3480-ssdram-can-upgrade-for-sale-colombo
Lenovo ThinkPad T480 Core i5-8th Gen|8GB RAM|256GB NVme Laptop,"Rs 79,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-thinkpad-t480-core-i5-8th-gen8gb-ram256gb-nvme-laptop-for-sale-colombo
Dell G15 AMD Ryzen 5 5600H RTX 3050/4GB 8GB DDR4 512GB SSD laptop,"Rs 212,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-g15-amd-ryzen-5-5600h-rtx-3050-4gb-8gb-ddr4-512gb-ssd-laptop-for-sale-colombo-9
HP Core i5 8th Gen Laptop 8GB RAM 1TB + 240GB SSD,"Rs 72,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-core-i5-8th-gen-laptop-8gb-ram-1tb-240gb-ssd-for-sale-colombo
Asus VivoBook E15 AMD Ryzen 5-7520U|8GB RAM| 512GB SSD Laptop,"Rs 186,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-e15-amd-ryzen-5-7520u8gb-ram-512gb-ssd-laptop-for-sale-colombo
2 in 1 convertable Laptop,"Rs 42,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/2-in-1-convertable-laptop-for-sale-colombo
core i5 11th Gen Latitude 7420 16GB laptop,"Rs 105,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/core-i5-11th-gen-latitude-7420-16gb-laptop-for-sale-colombo
Brand New ASUS VIVOBOOK Core 5 120U 14th Gen|512GB NVMe|8GB DDR5 Laptop,"Rs 205,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/brand-new-asus-vivobook-core-5-120u-14th-gen512gb-nvme8gb-ddr5-laptop-for-sale-colombo-3
Dell Latitude 3400 Intel Core I5 8th Gen 8GB RAM 256GB SSD Used Laptop,"Rs 73,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-3400-intel-core-i5-8th-gen-8gb-ram-256gb-ssd-used-laptop-for-sale-colombo-48
"Asus Vivobook - Intel Core 7 150U +16GB RAM /512GB NVME SSD ,New Laptop","Rs 267,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-intel-core-7-150u-16gb-ram-512gb-nvme-ssd-new-laptop-for-sale-colombo-8
Dell Latitude 5300 - 8th Gen i7 Laptop,"Rs 90,000","Kurunegala, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5300-8th-gen-i7-laptop-for-sale-kurunegala-32
HP Elitebook i5 | 16GB RAM Laptop,"Rs 77,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-elitebook-i5-16gb-ram-laptop-for-sale-colombo
Asus vivobook Laptop,"Rs 150,000","Kurunegala, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-laptop-for-sale-kurunegala
MSI Modern 15 Core i5 13th Gen 8GB RAM 512GB NVME Laptop,"Rs 218,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/msi-modern-15-core-i5-13th-gen-8gb-ram-512gb-nvme-laptop-for-sale-colombo-110
NEC Versapro Intel Celeron X360 8GB RAM 128GB Mini Laptop,"Rs 65,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/nec-versapro-intel-celeron-x360-8gb-ram-128gb-mini-laptop-for-sale-colombo-55
HP Victus i5 13th Gen + RTX 3050 6GB VGA / 512GB NVME SSD -Laptop,"Rs 279,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-victus-i5-13th-gen-rtx-3050-6gb-vga-512gb-nvme-ssd-laptop-for-sale-colombo-55
Acer Predator Neo 16 -Ultra 9+RTX 5060 8GB VGA inch Oled-1TB Laptop,"Rs 579,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-predator-neo-16-ultra-9rtx-5060-8gb-vga-inch-oled-1tb-laptop-for-sale-colombo-105
N/A,N/A,N/A,N/A
MSI Modern 15 Core i5 13th Gen 8GB RAM 512GB NVME Laptop,"Rs 218,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/msi-modern-15-core-i5-13th-gen-8gb-ram-512gb-nvme-laptop-for-sale-colombo-111
Dell Ultrabook SLIM i5 6TH GEN 8GB RAM 256GB SSD Laptop,"Rs 58,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-ultrabook-slim-i5-6th-gen-8gb-ram-256gb-ssd-laptop-for-sale-colombo-1
Dell 5th gen laptop,"Rs 34,900","Kandy, Computers & Tablets",https://ikman.lk/en/ad/dell-5th-gen-laptop-for-sale-kandy-1
