Title,Price,Location_Category,Link,Brand,Condition,Description
HP 24 INCH IPS FRAMELESS USED SILVER MONITOR ( E243 )( without cable ),"Rs 21,000.00",MD Computers,https://mdcomputers.lk/product/hp-24-inch-ips-frameless-used-silver-monitor-e243/,AOC,Used,"Brand – HPMODEL – E243SCREEN SIZE – 24 INCHModel – EliteDisplay E243PANAL TYPE – IPSPorts – VGA, DISPLAYPORT, HDMIWARRANTY – 03 MONTH"
24 INCH LENOVO THINKVISION  WIDE SCREEN FHD USED MONITOR ( without cable ),"Rs 23,000.00",MD Computers,https://mdcomputers.lk/product/lenovo-thinkvision-t24i-10-23-8-inch-wide-fhd-ips-used-monitor/,LENOVO,Used,BrandLenovoScreen size60.45ResolutionFHD 1080pAspect ratio16:9Screen surface descriptionFlatImage contrast ratio1000:103 MONTH WARRANTY
DELL 24 INCH LED HDMI USED MONITOR,"Rs 17,500.00",MD Computers,https://mdcomputers.lk/product/dell-24-inch-led-hdmi-used-monitor/,DELL,Used,BRAND – DELLINCH – 24 INCHMODEL – E2422HSSCREEN FINISH – GLOSSYRESOLUTION – FHD 1080PDISPLAY TYPE – LEDWARRANTY – 03 MONTH
DELL P2416DB 24 INCH LED USED MONITOR ( without cable ),"Rs 23,000.00",MD Computers,https://mdcomputers.lk/product/dell-p2416db-24-inch-led-used-monitor-without-cable/,DELL,Used,BRAND – DELLMODEL – P2416DBDISPLAY SIZE – 23.8 INCHPANAL TYPE – IPS (In-Plane Switching) WITH LED BACKLIGHTRESOLUTION – QHD \(2560 \times 1440\)REFRASH RATE – 60 HzWARRANTY – 03 MONTHPORTS – VGA
DELL 24INCH FHD 1080P FRAMLESS IPS USED MONITOR ( without cable ),"Rs 20,500.00",MD Computers,https://mdcomputers.lk/product/dell-ultrasharp-u2414h-23-8-inch-screen-fhd-1080p-led-used-monitor/,DELL,Used,"BrandDellScreen Size24 InchesResolutionFHD 1080pAspect Ratio1.78:1Screen Surface DescriptionGlossy Diagonally Viewable Size: 60.47 cm / 23.8 Inch (31.5-inch wide viewable image size)Aspect Ratio: Widescreen (16:9)Panel Type, Surface: In-plane switching, anti glare with hard coat 3HOptimal resolution: 1920 x 1080 at 60HzContrast Ratio- 1000:1 (typical), 2 Million:1 (Max) (Dynamic Contrast Ratio)To correctly check for light leakage, please view panel in room with at least 75 lux ambient lighting03 month warranty"
HP ELITE 24 INCH IPS FRAMELESS ROTETABLE USED MONITOR ( E24 G4 ),"Rs 23,500.00",MD Computers,https://mdcomputers.lk/product/hp-elite-e24-g4-2022-24-ips-frameless-used-monitor/,HP,Used,"HP EliteDisplay E24 G4 24 inch Monitor Interfaces Supported: 1 x HDMI , 1 x DisplayPort, 1 x USB Type-B, 4 x USB Type-A 3.2 Standard Contrast Ratio: 1000:1 Maximum Resolution Supported: 1920 x 1080 Response Time: 5 ms (fast) Screen Mode: FHD Brightness: 250 Nit Input Power: 100 – 240 VAC Dimensions: (W x D x H): 24.08 x 1.85 x 14.31 inch Display Features: HP Eye Ease blue light filter, USB Hub, Pivot Rotation, Height Adjustable, Vesa Mount Compatible, Anti-glare, In plane switching, LED Backlights, Language Selection, On-screen controls, Energy Star Certified03 month warranty( without cable )"
DELL 27 INCH 2K FRAMELESS IPS USED MONITOR  ( DELIVERY NOT AVAILABLE ),"Rs 34,500.00",MD Computers,https://mdcomputers.lk/product/dell-up2716d-27-inch-2k-monitor/,DELL,Used,BrandDellScreen Size27 InchesResolutionQHD Wide 1440pAspect RatioUnknownScreen Surface DescriptionGlossyLED PANAL 2K MODEL U2715HC WITH OUT CABLE 03 MONTH WARRANTY
HP 22 INCH P22H G4 IPS BRAND NEW MONITOR ( 01 YEAER WARRANTY ),"Rs 27,000.00",MD Computers,https://mdcomputers.lk/product/hp-22-inch-p22h-g4-ips-brand-new-monitor-01-yeaer-warranty/,HP,Used,"Panel Type: IPS (In-Plane Switching)Screen Size: 21.5-inch diagonalResolution: FHD (1920 x 1080 @ 60 Hz or 75Hz)Aspect Ratio: 16:9Brightness: 250 cd/m² (nits)Contrast Ratio: 1000:1 static; 8,000,000:1 dynamicResponse Time: 5 ms GtG (Gray to Gray)Viewing Angle: 178° horizontal/vertical Input Types: 1 x HDMI 1.4, 1 x DisplayPort™ 1.2, 1 x VGAErgonomics: Height adjustable (100 mm), Pivot (±90°), Swivel (±360°), Tilt (-5 to +25°)Features: Anti-glare, Low blue light mode, VESA mount compatible (100mm)Dimensions (W x D x H): 49.73 x 4.59 x 30.11 cm (without stand)Weight: 4.14 kg (with stand)Model Year: 2020Security: Security lock-readyPower: 100-240 VAC input, internal power supply"
LENOVO THINKVISION P24q-30 24″INCH  2K WQHD MONITOR – WITH BOX ( 01 year warranty ),"Rs 37,000.00",MD Computers,https://mdcomputers.lk/product/lenovo-thinkvision-p24q-30-24%e2%80%b3inch-2k-wqhd-brand-new-monitor-01-year-warranty/,LENOVO,Used,"01 YEAR WARRANTYLCD Monitor is reliable and offers convenient usage23.8″ viewable screen size provides a spectacular viewing experience4 ms Extreme Mode response time diminishes ghosting, blurring, and streaking in fast-moving games and moviesFurnishes captivating visuals with 300 Nit brightness levelsExperience a new level of viewing pleasure with Wide Quad High Definition (WQHD) that features 4 times the resolution of standard HDWLED backlight technology for enhanced visual clarity2560 x 1440 maximum resolution for stunning, lively result with optimal viewing usability60 Hz standard refresh rate reduces blur to ensure maximum efficiency16:9 widescreen resolution perfect for watching movies, playing video games and getting on with office workFeatures HDMI input to get connected with the top of the line PCs, Blu-ray players, and cutting edge gaming consoles"
AOC C32G2ZE 32 INCH FHD  CURVED USED GAMING MONITOR ( DELIVERY NOT AVAILABLE ),"Rs 39,500.00",MD Computers,https://mdcomputers.lk/product/aoc-c32g2ze-32-inch-fhd-curved-used-gaming-monitor/,AOC,Used,BRAND – AOCMODEL – C32G2ZESCREEN SIZE – 32 INCHRESOLUTION – FULL HD ( 1920×1080 )PANEL TYPE – VACURVATURE – 1500RREFRESH RATE – 240HzCONNECTIVITY – 2x HDMI / 1x DISPLAYPORT / AUDIO OUTWITHOUT CABLES 03 MONTH WARRANTY
DELL ULTRASHAP U2424HE – 24 INCH FULL HD IPS FRAMELESS 120Hz USED MONITOR ( without cable ),"Rs 28,500.00",MD Computers,https://mdcomputers.lk/product/dell-ultrashap-u2422he-24-inch-full-hd-ips-frameless-120hz-used-monitor-without-cable/,DELL,Used,BRAND – DELLMODEL – ULTRASHAP U2424HERESOLUTION – FULL HD (1920 x 1080)REFRESH RATE – 120HzPANAL TECHNOLOGY – IPSSCREEN SIZE – 24 INCHESPORTS – HDMI / DP / USB-CWITHOUT CABLESWARRANTY – 03 MONTH
DELL ULTRASHARP 24 INCH IPS FRAMELESS TYPE C USED MONITOR ( without cables ),"Rs 29,500.00",MD Computers,https://mdcomputers.lk/product/dell-ultrasharp-24-inch-ips-frameless-used-monitor-without-cables/,DELL,Used,BRAND – DELLMODEL – U2422HSCREEN SIZE – 24 INCHPANEL TYPE – IPSCONNECTIVITY – HDMI / TYPE CWITHOUT CABLEWARRANTY – 03 MONTH
HP 24 INCH P24h G4 IPS BRAND NEW MONITOR ( 01 YEAER WARRANTY ),"Rs 32,000.00",MD Computers,https://mdcomputers.lk/product/hp-24-inch-p24h-g4-ips-brand-new-monitor-01-yeaer-warranty/,HP,Used,"Panel Type: IPS (In-Plane Switching) with LED backlightScreen Size: 23.8-inch diagonal (viewable)Native Resolution: Full HD (1920 x 1080) at 60 Hz or 75 HzAspect Ratio: 16:9Brightness: 250 nits (cd/m²)Contrast Ratio: 1000:1 static, 8,000,000:1 dynamicResponse Time: 5 ms (GTG with overdrive) or 14 ms (typical)Viewing Angle: 178° horizontal, 178° verticalPixel Pitch: 0.2745 mm HDMI: 1 x HDMI 1.4 portDisplayPort: 1 x DisplayPort 1.2 portVGA: 1 x VGA (D-Sub) portAudio: 3.5mm Audio-in, Dual 2W built-in speakersHDCP Support: Yes (for HDMI and DisplayPort)"
DELL ULTRASHAP U2422HE – 24 INCH FULL HD IPS FRAMELESS 75Hz USED MONITOR ( without cable ),"Rs 26,500.00",MD Computers,https://mdcomputers.lk/product/dell-24-inch-ultrashap-ips-full-hd-used-monitor-without-cable/,DELL,Used,BRAND – DELLMODEL – ULTRASHAP U2414HERESOLUTION – FULL HD (1920 x 1080)REFRESH RATE – 75HzPANAL TECHNOLOGY – IPSSCREEN SIZE – 24 INCHESPORTS – HDMI / DP / USB-CWITHOUT CABLESWARRANTY – 03 MONTH
SAMSUNG 32 INCH IPS HDMI 4K USED MONITOR – WITH POWERPACK ( DILIVERY NOT AVAILABLE ),"Rs 45,000.00",MD Computers,https://mdcomputers.lk/product/samsung-32-inch-ips-hdmi-4k-used-monitor-with-powerpack-dilivery-not-available/,SAMSUNG,Used,"BRAND – SAMSUNGSIZE – 32 INCHPANEL – IPSMODEL – LU32J592UQKXKRREFRESH RATE – 60HZPORT – HDMI* 2 , DISPLAYWARRANTY – 03 MONTH"
HKC MG32K2Q 32 INCH QWD 2K USED MONITOR ( DELIVERY NOT AVAILABLE ),"Rs 49,000.00",MD Computers,https://mdcomputers.lk/product/hkc-mg32k2q-32-inch-qwd-2k-used-monitor-without-cables/,HKC,Used,"Display: 31.5″ / 80cm VA Panel, 1500R Curved, Anti-GlareResolution: QHD (2560×1440) @ 144Hz Refresh Rate: 144Hz (Overclockable to 170Hz on some variants)Response Time: 1ms (MPRT)Brightness: ~300 cd/m² (Nits)Color: 16.7 Million Colors, 90% DCI-P3 GamutContrast: 3000:1 (Typical)Features: FreeSync/G-Sync Compatible, Flicker-Free, Low Blue Light ModeConnectivity: 1x DisplayPort, 2x HDMI (1.4 & 2.0 versions)Audio: Audio Out 03 MONTH WARRANTYWITHOUT CABLES"
