Brand,Vehicle_Type,Title,Fuel Type,Gear,Price,Year,Location,Mileage,Listing_URL
Nissan,Car,Nissan AD Wagon 1985 Car,Petrol,Manual,"Rs. 765,000",1985,Nittambuwa,"123,456 km",https://riyasewana.com/buy/nissan-ad-wagon-sale-nittambuwa-12122284
Nissan,Car,Nissan Sunny N17 2011 Car,Petrol,Manual,"Rs. 5,865,000",2011,Moratuwa,"55,840 km",https://riyasewana.com/buy/nissan-sunny-n17-sale-moratuwa-12122274
Suzuki,Car,Suzuki Alto 2010 Car,Petrol,Manual,"Rs. 3,520,000",2010,Gampaha,"67,000 km",https://riyasewana.com/buy/suzuki-alto-sale-gampaha-12122223
Ford,Car,Ford Festiva 1995 Car,Petrol,Manual,"Rs. 2,100,000",1995,Piliyandala,"301,000 km",https://riyasewana.com/buy/ford-festiva-sale-piliyandala-12122206
Suzuki,Car,Suzuki Maruti 2005 Car,Petrol,Manual,"Rs. 2,130,000",2005,Kurunegala,"68,000 km",https://riyasewana.com/buy/suzuki-maruti-sale-kurunegala-12122203
Suzuki,Car,Suzuki Alto 2014 Car,Petrol,Manual,"Rs. 3,560,000",2014,Chilaw,"98,000 km",https://riyasewana.com/buy/suzuki-alto-sale-chilaw-12122178
Zotye,Car,Zotye Z100 2016 Car,Petrol,Manual,"Rs. 3,150,000",2016,Anuradapura,"53,000 km",https://riyasewana.com/buy/zotye-z100-sale-anuradapura-12122121
Toyota,Car,Toyota Yaris 2008 Car,Petrol,Manual,"Rs. 5,500,000",2008,Galle,"53,000 km",https://riyasewana.com/buy/toyota-yaris-sale-galle-12122090
Mitsubishi,Car,Mitsubishi Lancer I Light 1974 Car,Petrol,Manual,"Rs. 685,000",1974,Panadura,,https://riyasewana.com/buy/mitsubishi-lancer-i-sale-panadura-12122081
Suzuki,Car,Suzuki Alto 2015 Car,Petrol,Manual,"Rs. 4,150,000",2015,Kegalle,"70,000 km",https://riyasewana.com/buy/suzuki-alto-sale-kegalle-12122041
