title,Brand_Cleaned,Model_Cleaned,CPU_Cleaned,Generation_Cleaned,RAM_GB,Storage_Capacity_GB,Storage_Type,GPU_Tier,Is_Touchscreen,Condition_Cleaned,Location_Cleaned,Price_Cleaned
"Dell Latitude 3400 - i5 8th Gen -8GB RAM -256GB NVME SSD ,14 Inch Laptop",Dell,Latitude,Core i5,8,8.0,256.0,SSD,Integrated,0,Used,Colombo,73000.0
DELL G5 5505 GAMING LAPTOP | RYZEN 7 8GB 256GB (SHOWROOM USED),Dell,G5,Ryzen 7,8,16.0,256.0,SSD,Integrated,0,Used,Colombo,165000.0
Acer Travel Mate Core i5 -11th -8GB -256GB SSD Laptops,Acer,Standard / Other,Core i5,8,8.0,256.0,SSD,Integrated,0,Used,Colombo,96900.0
Acer Core i3 1215U–12th Gen 15.6″FullHD 8GB RAM 128GB NVMe+1TB HDD,Acer,Standard / Other,Core i3,12,8.0,128.0,SSD,Integrated,0,Used,Ratnapura,97990.0
MacBook Air,Apple,Macbook Air,Other / Dual Core,8,4.0,256.0,SSD,Integrated,0,Used,Colombo,168000.0
LENOVO THINK PAD L13 YOGA | CORE i7 10TH GEN|16GB 256GB|USED,Lenovo,Yoga,Core i7,10,16.0,512.0,SSD,Integrated,1,Used,Colombo,145000.0
Hp Laptop,Hp,Standard / Other,Other / Dual Core,8,4.0,256.0,SSD,Integrated,0,Used,Kurunegala,38000.0
Dell Core i5 8250U–8th Gen Radeon 530 2GB 8GB RAM 128GB SSD+1TB,Dell,Standard / Other,Core i5,8,8.0,128.0,SSD,Other Dedicated,0,Used,Ratnapura,97990.0
AMD Ryzen 7 PRO -5850U\16GB DDR4 Ram\256GB NVMe,Other,Standard / Other,Ryzen 7,8,16.0,256.0,SSD,Integrated,0,Used,Colombo,119000.0
"Gaming Laptop i7 7th Gen|16GB RAM|512GB NVME|15.6""|GTX 1050 TI 4GB",Other,Standard / Other,Core i7,7,16.0,512.0,SSD,GTX Series,0,Used,Gampaha,129950.0
"Dell Latitude 5410 - i7 10TH GEN + 8GB RAM/ 256GB NVME ,14 Inch Laptop,",Dell,Latitude,Core i7,10,8.0,256.0,SSD,Integrated,0,Used,Colombo,95000.0
HP EliteBook 840 G8 14 inch FHD 256GB NVMe 8GB Ram Core i5 11th Gen,Hp,Elitebook,Core i5,11,8.0,256.0,SSD,Integrated,0,Used,Colombo,118500.0
HP ProBook 440 G6 Core i5 8265U–8th Gen 14-inch 16GB RAM 256GB SSD,Hp,Probook,Core i5,8,16.0,256.0,SSD,Integrated,0,Used,Ratnapura,97990.0
HP Probook 440 G8 i5 11th Gen 8GB 256GB Laptop Imported Used,Hp,Probook,Core i5,11,8.0,256.0,SSD,Integrated,0,Used,Gampaha,105000.0
LENOVO THINKPAD L13 YOGA | CORE i5 |16GB 256GB (USED),Lenovo,Thinkpad,Core i5,8,8.0,256.0,SSD,Integrated,1,Used,Colombo,120000.0
"Acer Aspire 5 15.6"" Laptop i5 12th Gen 8GB Ram 1TB",Acer,Aspire,Core i5,12,8.0,1024.0,SSD,Integrated,0,Used,Gampaha,188000.0
"LOQ i7 13gen,RTX3050 6GB,24GB Ram,512Nvme",Other,Standard / Other,Core i7,13,24.0,512.0,SSD,RTX 30-Series,0,Used,Colombo,270000.0
HP ProBook 650 G8 Core i5 1145G7 11th Gen -8GB DDR4 Ram Iris Xe Graphics,Hp,Probook,Core i5,11,8.0,256.0,SSD,Other Dedicated,0,Used,Colombo,122500.0
Asus Rog Strix G16 Ryzen 9 9955HX RTX5060 8GB VGA 16GB RAM Laptop}}|,Asus,Rog,Ryzen 9,8,16.0,256.0,SSD,Other Dedicated,0,Used,Colombo,655000.0
Asus Core i3 1115G4–11th Gen 15.6-inch 12GB RAM 512GB SSD,Asus,Standard / Other,Core i3,11,12.0,512.0,SSD,Integrated,0,Used,Ratnapura,97990.0
Asus TUF F16 Core 5 210H RTX 3050 6GB VGA Gaming Laptop^~:,Asus,Tuf,Other / Dual Core,8,4.0,256.0,SSD,RTX 30-Series,0,Used,Colombo,337000.0
HP Elitebook 840 G5 Core i5–8th Gen FHD-IPS 16GB RAM 256GB SSD,Hp,Elitebook,Core i5,8,16.0,256.0,SSD,Integrated,0,Used,Ratnapura,97990.0
"Apple Macbook Pro 2020 -Intel I7 +32GB RAM -1TB SSD ,Touch Bar",Apple,Macbook Pro,Core i7,12,32.0,1024.0,SSD,Integrated,1,Used,Colombo,218000.0
"Apple Macbook Pro Intel I7 32GB RAM 512GB SSD /16 Inch,",Apple,Macbook Pro,Core i7,8,32.0,512.0,SSD,Integrated,0,Used,Colombo,179000.0
Dell Core i3 1005G1–10th Gen 15.6-inch 20GB RAM 512GB SSD+1TB HDD,Dell,Standard / Other,Core i3,10,8.0,512.0,SSD,Integrated,0,Used,Ratnapura,95000.0
Dell G15 AMD Ryzen 5 -5600H -RTX 3050/4GB 8GB DDR4 512GB SSD laptop,Dell,G15,Ryzen 5,8,8.0,512.0,SSD,RTX 30-Series,0,Used,Colombo,212000.0
Acer Aspire A315-24P AMD Ryzen 3 7320U with Radeon Graphics,Acer,Aspire,Ryzen 3,8,8.0,256.0,SSD,Other Dedicated,0,Used,Colombo,130000.0
intel Core i5-8365U\16GB DDR4 \256GB NVMe SSD,Other,Standard / Other,Core i5,8,16.0,256.0,SSD,Integrated,0,Used,Colombo,89000.0
Dell Latitude 5410 Core i5 10310U–10th Gen 8GB RAM 256GB NVMe,Dell,Latitude,Core i5,10,8.0,256.0,SSD,Integrated,0,Used,Ratnapura,89990.0
MSI Modern 14 C11M Core i3 1115G4–11th Gen 8GB RAM 256GB NVMe,Msi,Modern,Core i3,11,8.0,256.0,SSD,Integrated,0,Used,Ratnapura,89990.0
Lenovo ThinkPad L14 Core i5 11th Gen | 8GB Ram|256GB NVMe|14 inch FHD,Lenovo,Thinkpad,Core i5,11,8.0,256.0,SSD,Integrated,0,Used,Colombo,97500.0
Dell Latitude 3590 Core i5 7200U–7th Gen 15.6-inch 16GB RAM 256GB SSD,Dell,Latitude,Core i5,7,16.0,256.0,SSD,Integrated,0,Used,Ratnapura,87990.0
"Lenovo ThinkPad L390 CORE I3 8TH GEN 8GB RAM 128GB SSD 13.3""",Lenovo,Thinkpad,Core i3,8,8.0,128.0,SSD,Integrated,0,Used,Colombo,65000.0
"Laptop i5 10th Gen 8GB RAM|256GB NVME|Wi-Fi|14""|HP ProBook 430 G7",Hp,Probook,Core i5,10,8.0,256.0,SSD,Integrated,0,Used,Gampaha,91450.0
Dell Core I7 8th Gen 16GB RAM 128GB SSD Touch Screen Laptops,Dell,Standard / Other,Core i7,8,16.0,128.0,SSD,Integrated,1,Used,Gampaha,84990.0
Lenovo ThinkPad L14 Ryzen 5 PRO - 4650U|8GB RAM |256GB NVMe|14 inch FHD,Lenovo,Thinkpad,Ryzen 5,8,8.0,256.0,SSD,Integrated,0,Used,Colombo,87500.0
Dell Latitude 7390 Core i7 8650U–8th Gen 8GB RAM 256GB SSD,Dell,Latitude,Core i7,8,8.0,256.0,SSD,Integrated,0,Used,Ratnapura,87990.0
"Dell Latitude 5440 - I5 13TH GEN +8GB RAM /256GB SSD-14 INCH , Laptop",Dell,Latitude,Core i5,13,8.0,256.0,SSD,Integrated,0,Used,Colombo,139999.0
"Dell Latitude 5410 - i7 10TH GEN + 8GB RAM/ 256GB NVME / 14 Inch Laptop,",Dell,Latitude,Core i7,10,8.0,256.0,SSD,Integrated,0,Used,Colombo,94999.0
Dell Latitude 3510 - I5 10th Gen 8GB RAM /256GB SSD-15.6 inch Laptop,Dell,Latitude,Core i5,10,8.0,256.0,SSD,Integrated,0,Used,Colombo,92999.0
"Dell Latitude 3400 - i5 8th Gen -8GB RAM -256GB NVME SSD ,14 Inch Laptop",Dell,Latitude,Core i5,8,8.0,256.0,SSD,Integrated,0,Used,Colombo,69999.0
Lenovo Yoga 7 2 in 1 Core Ultra 7-14th Gen|1TB NVMe|16GB DDR5 |Backlit,Lenovo,Yoga,Core Ultra,14,16.0,1024.0,SSD,Integrated,1,Used,Colombo,369000.0
Lenovo ThinkPad T14 i5 10th gen 8gb ram 256gb ssd,Lenovo,Thinkpad,Core i5,10,8.0,256.0,SSD,Integrated,0,Used,Colombo,99000.0
