id,title,price_raw,price,condition,location,description,slug,link,shop_name,is_member,timestamp
6a806560ecd5ce5f42f229e1,Samsung Galaxy S22 5G/256GB (Used),"Rs 78,000",78000,Used,Gampaha,"Gampaha, Mobile Phones",samsung-galaxy-s22-5g-256gb-used-for-sale-gampaha-72,https://ikman.lk/en/ad/samsung-galaxy-s22-5g-256gb-used-for-sale-gampaha-72,GL Smart Mobile,True,17 days
6a8064e45de5cb30e2ab6320,Samsung Galaxy S22 5G/256GB (Used),"Rs 78,000",78000,Used,Gampaha,"Gampaha, Mobile Phones",samsung-galaxy-s22-5g-256gb-used-for-sale-gampaha-73,https://ikman.lk/en/ad/samsung-galaxy-s22-5g-256gb-used-for-sale-gampaha-73,GL Smart Mobile,True,17 days
6a806486f185cb6e78b6094f,Samsung Galaxy S22 5G/256GB (Used),"Rs 78,000",78000,Used,Gampaha,"Gampaha, Mobile Phones",samsung-galaxy-s22-5g-256gb-used-for-sale-gampaha-74,https://ikman.lk/en/ad/samsung-galaxy-s22-5g-256gb-used-for-sale-gampaha-74,GL Smart Mobile,True,17 days
6a8062574221f3371ff22978,Apple iPhone 12 Pro 256GB (Used),"Rs 87,000",87000,Used,Colombo,"Colombo, Mobile Phones",apple-iphone-12-pro-256-used-for-sale-colombo-511,https://ikman.lk/en/ad/apple-iphone-12-pro-256-used-for-sale-colombo-511,,False,17 days
6a805e917e8d765dec78f618,Apple iPhone 12 128GB (Used),"Rs 71,000",71000,Used,Gampaha,"Gampaha, Mobile Phones",apple-iphone-12-128-used-for-sale-gampaha-134,https://ikman.lk/en/ad/apple-iphone-12-128-used-for-sale-gampaha-134,,False,17 days
6a805f19541eec1d8a4ba595,Apple iPhone 12 Red - 128GB 5G (Used),"Rs 84,999",84999,Used,Colombo,"Colombo, Mobile Phones",apple-iphone-12-red-128gb-5g-used-for-sale-colombo,https://ikman.lk/en/ad/apple-iphone-12-red-128gb-5g-used-for-sale-colombo,Usedphones International Pvt Ltd 2,True,17 days
6a805db6cf74dd7ab153faf3,Apple iPhone 12 Pro 128GB (Used),"Rs 75,000",75000,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-12-pro-128gb-used-for-sale-kandy-614,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-kandy-614,,False,17 days
6a805a4514d6b260b8e20178,Apple iPhone 13 128GB (Used),"Rs 95,000",95000,Used,Badulla,"Badulla, Mobile Phones",apple-iphone-13-128gb-used-for-sale-badulla-96,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-badulla-96,,False,17 days
6a805a586975b7b838dfd6ff,Apple iPhone 13 128GB (Used),"Rs 86,999",86999,Used,Colombo,"Colombo, Mobile Phones",apple-iphone-13-128gb-used-for-sale-colombo-13948,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-13948,Mobile Kingdom,True,17 days
6a8059fcc86aa74bc57b64aa,Apple iPhone 13 (Used),"Rs 95,000",95000,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-13-used-for-sale-kandy-1118,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-kandy-1118,,False,17 days
6a8054bcf185cb6e78b608d4,Google Pixel 8 Pro (Used),"Rs 75,000",75000,Used,Kalutara,"Kalutara, Mobile Phones",google-pixel-8-pro-used-for-sale-kalutara-14,https://ikman.lk/en/ad/google-pixel-8-pro-used-for-sale-kalutara-14,,False,17 days
6a2fd7707d4de3e0afd9773a,Apple iPhone 12 Pro 256GB (Used),"Rs 94,999",94999,Used,Kalutara,"Kalutara, Mobile Phones",apple-iphone-12-pro-256gb-used-for-sale-kalutara-676,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-kalutara-676,Smart Choice,True,17 days
6a30006973a4bf733ec58557,Apple iPhone 12 Pro 256GB (Used),"Rs 94,999",94999,Used,Kalutara,"Kalutara, Mobile Phones",apple-iphone-12-pro-256gb-used-for-sale-kalutara-677,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-kalutara-677,Smart Choice,True,17 days
6a80485d5b7f9b98d9cdbdae,Apple iPhone 12 Pro 256GB (Used),"Rs 97,000",97000,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-12-pro-256gb-used-for-sale-kandy-1269,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-kandy-1269,Aero Mobile,True,17 days
6a80516dce5bfcaed44ba4fa,Apple iPhone 12 Pro 256GB (Used),"Rs 82,500",82500,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-12-pro-256gb-used-for-sale-kandy-1270,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-kandy-1270,Lyca Premium Mobile - Akurana,True,17 days
6853e0970ece54004bdaa1f4,Apple iPhone 11 256GB (Used),"Rs 74,508",74508,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-11-256gb-used-for-sale-kandy-196,https://ikman.lk/en/ad/apple-iphone-11-256gb-used-for-sale-kandy-196,Lyca Premium Mobile - Akurana,True,17 days
685f824d25a64c001bfa50a9,Apple iPhone 11 128GB (Used),"Rs 71,500",71500,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-11-128gb-used-for-sale-kandy-1863,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-kandy-1863,Lyca Premium Mobile - Akurana,True,17 days
6818aae9a9eb340050aa1c44,Apple iPhone 11 Pro 256GB (Used),"Rs 84,500",84500,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-11-pro-256gb-used-for-sale-kandy-1255,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-kandy-1255,Lyca Premium Mobile - Akurana,True,17 days
684bf292c589aa0031cd0b55,Apple iPhone 12 128GB (Used),"Rs 76,500",76500,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-12-128gb-used-for-sale-kandy-1007,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-kandy-1007,Lyca Premium Mobile - Akurana,True,17 days
6853de434059ef003f3adb6c,Apple iPhone 11 128GB (Used),"Rs 71,500",71500,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-11-128gb-used-for-sale-kandy-1846,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-kandy-1846,Lyca Premium Mobile - Akurana,True,17 days
6818aaa517f38b003a6445f0,Apple iPhone 11 Pro 256GB (Used),"Rs 76,508",76508,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-11-pro-256gb-used-for-sale-kandy-1153,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-kandy-1153,Lyca Premium Mobile - Akurana,True,17 days
681070c73f1ba700217ed1d6,Apple iPhone 12 128GB (Used),"Rs 77,500",77500,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-12-128gb-used-for-sale-kandy-624,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-kandy-624,Lyca Premium Mobile - Akurana,True,17 days
6a804aae71e6ae2e29b60923,Apple iPhone 13 Pro Max (Used),"Rs 97,000",97000,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-13-pro-max-used-for-sale-kandy-1095,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-kandy-1095,,False,17 days
6a2d1bb820e66449cf0c9802,Apple iPhone 12 Pro 256GB 5G (Used),"Rs 94,999",94999,Used,Kalutara,"Kalutara, Mobile Phones",apple-iphone-12-pro-256gb-5g-used-for-sale-kalutara-24,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-5g-used-for-sale-kalutara-24,Smart Choice,True,17 days
6a80466965a5af303bab623a,Apple iPhone 13 128GB (Used),"Rs 94,900",94900,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-13-128gb-used-for-sale-kandy-1375,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-kandy-1375,Aero Mobile,True,17 days
6a80466bbf061d5be178f596,Google Pixel 7 (Used),"Rs 88,950",88950,Used,Gampaha,"Gampaha, Mobile Phones",google-pixel-7-original-used-for-sale-gampaha,https://ikman.lk/en/ad/google-pixel-7-original-used-for-sale-gampaha,,False,17 days
6a80451dbed7472ed3b60865,Samsung Galaxy S22 Ultra 256GB (Used),"Rs 69,000",69000,Used,Trincomalee,"Trincomalee, Mobile Phones",samsung-galaxy-s22-ultra-256gb-used-for-sale-trincomalee,https://ikman.lk/en/ad/samsung-galaxy-s22-ultra-256gb-used-for-sale-trincomalee,,False,17 days
6a8040d53bc73a2c1fe200c8,Apple iPhone 12 (Used),"Rs 82,000",82000,Used,Gampaha,"Gampaha, Mobile Phones",apple-iphone-12-original-used-for-sale-gampaha-3,https://ikman.lk/en/ad/apple-iphone-12-original-used-for-sale-gampaha-3,,False,17 days
6a804072f185cb6e78b60835,Honor 400 5G 12/256GB (Used),"Rs 95,000",95000,Used,Kalutara,"Kalutara, Mobile Phones",honor-400-5g-12-256gb-used-for-sale-kalutara,https://ikman.lk/en/ad/honor-400-5g-12-256gb-used-for-sale-kalutara,,False,17 days
